timeStamp,elapsed,label,responseCode,threadName,success,bytes,grpThreads,allThreads,Latency,SampleCount,ErrorCount,Hostname
1444416171210,59,193 /issues/vIssue/Printables,200,Thread Group 1-1,TRUE,10770,1,1,58,0,0,ubuntu
1444416171270,46,194 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,46,0,0,ubuntu
1444416171317,48,195 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,46,0,0,ubuntu
1444416171366,511,203 /resource/services/coverthumb.cfm,200,Thread Group 1-1,TRUE,80433,1,1,263,0,0,ubuntu
1444416171879,186,212 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,186,0,0,ubuntu
1444416171210,850,Issue ID Printables,200,Thread Group 1-1,TRUE,138132,1,1,599,0,0,ubuntu
1444416172066,153,215 /resource/issues/099611DB-B084-5019-479181C73FD80744/printables-20150928141802.pdf,200,Thread Group 1-1,TRUE,1426230,1,1,7,0,0,ubuntu
1444416172065,153,215 /resource/issues/099611DB-B084-5019-479181C73FD80744/printables-20150928141802.pdf,200,Thread Group 1-1,TRUE,1426230,1,1,7,0,0,ubuntu
1444416172222,49,220 /Videos,200,Thread Group 1-1,TRUE,8462,1,1,47,0,0,ubuntu
1444416172275,48,221 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,47,0,0,ubuntu
1444416172323,50,222 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,46,0,0,ubuntu
1444416172374,48,227 /ajax/videoArchive.cfc,200,Thread Group 1-1,TRUE,2048,1,1,48,0,0,ubuntu
1444416172423,191,225 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,596,1,1,191,0,0,ubuntu
1444416172221,386,220 /Videos,200,Thread Group 1-1,TRUE,57458,1,1,379,0,0,ubuntu
1444416172615,86,232 /tracker,200,Thread Group 1-1,TRUE,181,1,1,86,0,0,ubuntu
1444416172702,208,233 /tracker,200,Thread Group 1-1,TRUE,181,1,1,208,0,0,ubuntu
1444416172912,86,234 /tracker,200,Thread Group 1-1,TRUE,181,1,1,86,0,0,ubuntu
1444416172614,380,Video ID,200,Thread Group 1-1,TRUE,543,1,1,380,0,0,ubuntu
1444416172999,1,392 /b/ss/schopreprodmain/0/FAS-2.8.1-AS2/s84209887348115,Non HTTP response code: org.apache.http.NoHttpResponseException,Thread Group 1-1,FALSE,2068,1,1,0,0,0,ubuntu
1444416173000,738,393 /issues/10_12_15/Debate,200,Thread Group 1-1,TRUE,11533,1,1,738,0,0,ubuntu
1444416173742,7,400 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,6,0,0,ubuntu
1444416173750,47,415 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,45,0,0,ubuntu
1444416173798,203,426 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,596,1,1,203,0,0,ubuntu
1444416172998,996,Debate,,Thread Group 1-1,FALSE,60549,1,1,992,0,0,ubuntu
1444416174002,45,439 /,200,Thread Group 1-1,TRUE,13115,1,1,44,0,0,ubuntu
1444416174048,47,440 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,47,0,0,ubuntu
1444416174096,49,441 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,46,0,0,ubuntu
1444416174146,47,448 /resource/uploads_upfront/Issues/101215/issue.json,200,Thread Group 1-1,TRUE,1105,1,1,47,0,0,ubuntu
1444416174193,182,446 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,182,0,0,ubuntu
1444416174001,370,Sign Out,200,Thread Group 1-1,TRUE,61149,1,1,366,0,0,ubuntu
1444416174376,790,1 /,200,Thread Group 1-1,TRUE,929290,1,1,5,0,0,ubuntu
1444416175169,184,63 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,184,0,0,ubuntu
1444416175356,7,76 /resource/uploads_upfront/Issues/101215/issue.json,200,Thread Group 1-1,TRUE,1105,1,1,7,0,0,ubuntu
1444416174376,981,Home,200,Thread Group 1-1,TRUE,930972,1,1,196,0,0,ubuntu
1444416175364,705,179 /issues/vIssue,200,Thread Group 1-1,TRUE,9179,1,1,705,0,0,ubuntu
1444416176070,7,180 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,6,0,0,ubuntu
1444416176077,8,182 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,5,0,0,ubuntu
1444416176085,181,185 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,181,0,0,ubuntu
1444416176267,220,188 /scholastic/prod/perf.rnc,204,Thread Group 1-1,TRUE,193,1,1,0,0,0,ubuntu
1444416176488,164,189 /scholastic/prod/TagAuditBeacon.rnc,204,Thread Group 1-1,TRUE,193,1,1,0,0,0,ubuntu
1444416175363,1285,Issues ID,200,Thread Group 1-1,TRUE,56494,1,1,897,0,0,ubuntu
1444416176653,1479,155 /Issue-Archive,200,Thread Group 1-1,FALSE,756540,1,1,4,0,0,ubuntu
1444416178133,6,158 /resource/templates/global/dynamic_css.cfm,200,Thread Group 1-1,TRUE,14260,1,1,4,0,0,ubuntu
1444416178139,11,159 /resource/scripts/activityMagazines.cfm,200,Thread Group 1-1,TRUE,32092,1,1,8,0,0,ubuntu
1444416178150,184,165 /scholastic/prod/serverComponent.php,200,Thread Group 1-1,TRUE,577,1,1,184,0,0,ubuntu
